attacker,abs_pred_shift
FGSM,0.1870956122875213
FGSM,0.1078262627124786
FGSM,0.1532008647918701
FGSM,0.394846647977829
FGSM,0.2344596832990646
FGSM,0.0979584008455276
FGSM,0.210217610001564
FGSM,0.1222283765673637
FGSM,0.1889179646968841
FGSM,0.0936232134699821
FGSM,0.1090908423066139
FGSM,0.7411044836044312
FGSM,0.1788466274738311
FGSM,0.1147827208042144
FGSM,0.0677604973316192
FGSM,0.5203610062599182
FGSM,0.1095036342740058
FGSM,0.1010035648941993
FGSM,0.1573077291250229
FGSM,0.6102052927017212
FGSM,0.0951187685132026
FGSM,0.1233449503779411
FGSM,0.2042313516139984
FGSM,0.0757958739995956
FGSM,0.1451008915901184
FGSM,0.3049950897693634
FGSM,0.1342339813709259
FGSM,0.0962403416633606
FGSM,0.0615867339074611
FGSM,0.2665053606033325
FGSM,0.0485059320926666
FGSM,0.2529819309711456
FGSM,0.1421650648117065
FGSM,0.1204090937972068
FGSM,0.1668855845928192
FGSM,0.227858155965805
FGSM,0.1745171844959259
FGSM,0.0657969787716865
FGSM,0.0813710018992424
FGSM,0.23148775100708
FGSM,0.1078264638781547
FGSM,0.2911230325698852
FGSM,0.2744778394699096
FGSM,0.3561448156833648
FGSM,0.1172478124499321
FGSM,0.0966328531503677
FGSM,0.1538395583629608
FGSM,0.3986107409000397
FGSM,0.0886810943484306
FGSM,0.2594642043113708
FGSM,0.177367627620697
FGSM,0.0908988490700721
FGSM,0.1094935238361358
FGSM,0.4558046162128448
FGSM,0.0813759490847587
FGSM,0.1976245939731598
FGSM,0.3634453415870666
FGSM,0.1096299216151237
FGSM,0.1465265452861786
FGSM,0.2179608941078186
FGSM,0.4027507603168487
FGSM,0.2017474025487899
PGD,0.2007440328598022
PGD,0.1264659464359283
PGD,0.504006028175354
PGD,0.5187820792198181
PGD,0.2545422315597534
PGD,0.5210380554199219
PGD,0.2670046091079712
PGD,0.3660498261451721
PGD,0.8457431793212891
PGD,0.2122687399387359
PGD,0.1607657670974731
PGD,1.066384196281433
PGD,0.2200909852981567
PGD,0.1354953348636627
PGD,0.0926354080438613
PGD,0.579928457736969
PGD,0.1604467630386352
PGD,0.1179654076695442
PGD,0.1991129964590072
PGD,0.936537265777588
PGD,0.1228419914841651
PGD,0.5936022996902466
PGD,0.2499041557312011
PGD,0.1177644953131675
PGD,0.188900351524353
PGD,0.3326176404953003
PGD,0.3514739573001861
PGD,0.1064440310001373
PGD,0.1372221410274505
PGD,0.367386519908905
PGD,0.1359004974365234
PGD,0.294780433177948
PGD,0.5316386818885803
PGD,0.2434545010328292
PGD,0.2160294651985168
PGD,0.2439880073070526
PGD,0.2451795935630798
PGD,0.3065729141235351
PGD,0.1881285607814788
PGD,1.183827519416809
PGD,0.2280994951725006
PGD,0.2995679974555969
PGD,1.0086634159088137
PGD,1.022024393081665
PGD,0.1774606108665466
PGD,0.1322188526391983
PGD,0.1729609370231628
PGD,0.5019649863243103
PGD,0.1411188840866089
PGD,0.8478068113327026
PGD,0.2280495762825012
PGD,0.1601671576499939
PGD,0.1654315590858459
PGD,0.5214561223983765
PGD,0.1313973069190979
PGD,0.9857937097549438
PGD,0.5161556601524353
PGD,0.2024133503437042
PGD,0.1835720241069793
PGD,0.4541002213954925
PGD,0.7978991270065308
PGD,0.2171719819307327
