ratio_pct,ratio_label,seed,attackable_count,selected_available_count,partial_clean_minus_reference_clean__annualized_excess_return_with_cost,partial_clean_minus_reference_clean__max_drawdown_with_cost,partial_clean_minus_reference_clean__rank_ic_mean,partial_clean_minus_reference_clean__information_ratio_with_cost,partial_fgsm_minus_partial_clean__annualized_excess_return_with_cost,partial_fgsm_minus_partial_clean__max_drawdown_with_cost,partial_fgsm_minus_partial_clean__rank_ic_mean,partial_fgsm_minus_partial_clean__information_ratio_with_cost,partial_pgd_minus_partial_clean__annualized_excess_return_with_cost,partial_pgd_minus_partial_clean__max_drawdown_with_cost,partial_pgd_minus_partial_clean__rank_ic_mean,partial_pgd_minus_partial_clean__information_ratio_with_cost
1,1%,0,10292,10292,0.01052296676607789,-0.004717224360698935,-9.2162207997043e-06,0.07788826793718906,-0.1561961350721663,-0.034798298216615176,-0.002916855935874804,-0.933762694134729,-0.27698458212725907,-0.018490852186573023,-0.0032418891920187043,-1.8989236401131944
1,1%,1,10297,10297,-0.013637360420006628,0.0005694230253937005,0.00012642724782556403,-0.07865856533263926,-0.2452124984474377,-0.05898309194384599,-0.0026911497103799947,-1.720743706674702,-0.29792811979597644,-0.052545019480755295,-0.002987210430699036,-2.1225407961711493
1,1%,2,10290,10290,0.005391414571890796,-0.003894074318831764,2.765783496866403e-06,0.03778309628191456,-0.18133355228431222,-0.02806510765909287,-0.0028486317625995156,-1.1750342134932308,-0.32461642301814786,-0.04361129391158752,-0.0031383329027906,-2.3090614058702763
1,1%,3,10270,10270,0.001538315729590456,0.002710005167034679,0.0001301771504404886,0.017472957566140757,-0.2360131613273435,-0.05563933400831647,-0.002746821833859922,-1.6164416030903064,-0.3181045901154357,-0.06189911906975959,-0.0030936687260127993,-2.281476738555666
1,1%,4,10256,10256,-0.00407055439519699,0.003338591422799353,1.0488905191494147e-05,0.015809405539278565,-0.19418446014222704,-0.03560819948241738,-0.002603925701278209,-1.3228016446098427,-0.2892945922351605,-0.04251586227856746,-0.002926641683230674,-2.079243471956655
5,5%,0,50874,50874,0.004771452706347101,-0.0009219045013755256,4.26517511382396e-05,0.08939194454929078,-0.28002251685382307,-0.05001360627928653,-0.012988216955523435,-1.975459292804741,-0.39831788985125394,-0.06057736052355739,-0.014377739550805187,-2.9957976791894674
5,5%,1,50892,50892,0.011950130614344967,0.006458560472372532,0.00010876103910416324,0.15597797017547466,-0.2997651400957899,-0.05507124059560267,-0.013040328941699472,-2.1357568045808337,-0.4005679217849842,-0.05308935962736222,-0.014413909920501879,-3.018505781534643
5,5%,2,50888,50888,-0.011639497404217769,-0.0027970832660624834,-1.8800834260535026e-06,-0.05874969225072091,-0.24408181392019437,-0.04808450381832885,-0.013288498398398851,-1.7202769340075372,-0.3519959334505186,-0.0553703623738111,-0.014762277102084928,-2.5891383449211895
5,5%,3,50846,50846,-0.05129771094437102,0.004599829298626179,0.00036274440792628815,-0.3194805974662409,-0.17892560031183485,-0.04243159699518825,-0.012957530200229855,-1.204018247735013,-0.33200758991003004,-0.05309396363047436,-0.01433985017466572,-2.4988644660857475
5,5%,4,50875,50875,-0.04138711649824234,-0.0066727898945503905,0.00032120682113849497,-0.31801597459466757,-0.2626894273175067,-0.05090664992432409,-0.013215376424324299,-1.8380963800445933,-0.32891383276372604,-0.04984611686663237,-0.014648200482078037,-2.389197441726551
10,10%,0,101719,101719,-0.028479904373716114,-0.0014284495164874622,0.00040441374492918014,-0.14677906887731362,-0.3281417726597976,-0.04578315169229008,-0.025944820675415967,-2.4385881890191636,-0.4031707800924334,-0.07274237499166211,-0.028669022274480774,-3.093518610695865
10,10%,1,101632,101632,-0.027805985780073816,-0.012308714873500493,-1.164748533123705e-05,-0.2127007567772825,-0.3242676333517786,-0.051959137211612105,-0.024694862767562345,-2.338337223199588,-0.3854408574053329,-0.053289722583632376,-0.02734575828782742,-2.861340530914179
10,10%,2,101691,101691,0.0232292790896933,-0.008304948567028458,6.801366241256102e-05,0.22709830583766344,-0.31742915643835246,-0.04913990796250914,-0.025444943245298036,-2.296687180150721,-0.4228497778846638,-0.05614666881878677,-0.028281759181989802,-3.1869292960450206
10,10%,3,101664,101664,0.009360718762754017,-0.0017424952444970443,2.9116205934265338e-05,0.03696942895108757,-0.336725804676408,-0.0372609427092421,-0.025381448629903908,-2.367469795096192,-0.4056988848775658,-0.060856087743223125,-0.028069474950485347,-2.968256939613234
10,10%,4,101648,101648,0.0032277787033494487,0.007115745635447146,0.00024312197148762538,0.01975093686662799,-0.34972963983007643,-0.06570343807348594,-0.025722362704927296,-2.5249395792544576,-0.44708345824389334,-0.08750639587669246,-0.028345208729638235,-3.3575052805708987
